ROI,Cortex
MSFG-superior-frontal-gyrus-medial-segment,FL
SCA-subcallosal-area,FL
POrG-posterior-orbital-gyrus,FL
PO-parietal-operculum,FL
SFG-superior-frontal-gyrus,FL
OrIFG-orbital-part-of-the-inferior-frontal-gyrus,FL
OpIFG-opercular-part-of-the-inferior-frontal-gyrus,FL
TrIFG-triangular-part-of-the-inferior-frontal-gyrus,FL
MPrG-precentral-gyrus-medial-segment,FL
MOrG-medial-orbital-gyrus,FL
MFG-middle-frontal-gyrus,FL
MFC-medial-frontal-cortex,FL
LOrG-lateral-orbital-gyrus,FL
GRe-gyrus-rectus,FL
SMC-supplementary-motor-cortex,FL
PrG-precentral-gyrus,FL
FO-frontal-operculum,FL
AOrG-anterior-orbital-gyrus,FL
FRP-frontal-pole,FL
CO-central-operculum,FL
Ent-entorhinal-area,TL-M
PHG-parahippocampal-gyrus,TL-M
PT-planum-temporale,TL
PP-planum-polare,TL
TTG-transverse-temporal-gyrus,TL
TMP-temporal-pole,TL
STG-superior-temporal-gyrus,TL
FuG-fusiform-gyrus,TL
MTG-middle-temporal-gyrus,TL
ITG-inferior-temporal-gyrus,TL
AIns-anterior-insula,Insula
PIns-posterior-insula,Insula
SMG-supramarginal-gyrus,PL
PoG-postcentral-gyrus,PL
MPoG-postcentral-gyrus-medial-segment,PL
PCu-precuneus,PL
AnG-angular-gyrus,PL
SPL-superior-parietal-lobule,PL
SOG-superior-occipital-gyrus,OL
OFuG-occipital-fusiform-gyrus,OL
LiG-lingual-gyrus,OL
OCP-occipital-pole,OL
IOG-inferior-occipital-gyrus,OL
MOG-middle-occipital-gyrus,OL
Cun-cuneus,OL
Calc-calcarine-cortex,OL
ACgG-anterior-cingulate-gyrus,Limbic-Cing
PCgG-posterior-cingulate-gyrus,Limbic-Cing
MCgG-middle-cingulate-gyrus,Limbic-Cing
Pallidum,Basal-Ganglia
Hippocampus,TL-M
Cerebral-White-Matter,Subcortical
Caudate,Basal-Ganglia
Basal-Forebrain,Subcortical
Amygdala,TL-M
Accumbens-Area,Basal-Ganglia
Thalamus-Proper,Subcortical
Putamen,Basal-Ganglia
Ventral-DC,Subcortical
